Survived,Passenger class,Sex,Age,# Sibiling/Spouses Aboard,# Parents/Children Aboard,Fare,Embarked,Family size
0,3,male,22.0,1,0,7.25,Southhampton,1
1,1,female,38.0,1,0,71.28,Cherbourg,1
1,3,female,26.0,0,0,7.92,Southhampton,0
1,1,female,35.0,1,0,53.1,Southhampton,1
0,3,male,35.0,0,0,8.05,Southhampton,0
0,3,male,28.0,0,0,8.46,Queenstown,0
0,1,male,54.0,0,0,51.86,Southhampton,0
0,3,male,2.0,3,1,21.08,Southhampton,4
1,3,female,27.0,0,2,11.13,Southhampton,2
1,2,female,14.0,1,0,30.07,Cherbourg,1
1,3,female,4.0,1,1,16.7,Southhampton,2
1,1,female,58.0,0,0,26.55,Southhampton,0
0,3,male,20.0,0,0,8.05,Southhampton,0
0,3,male,39.0,1,5,31.28,Southhampton,6
0,3,female,14.0,0,0,7.85,Southhampton,0
1,2,female,55.0,0,0,16.0,Southhampton,0
0,3,male,2.0,4,1,29.12,Queenstown,5
1,2,male,28.0,0,0,13.0,Southhampton,0
0,3,female,31.0,1,0,18.0,Southhampton,1
1,3,female,28.0,0,0,7.22,Cherbourg,0
0,2,male,35.0,0,0,26.0,Southhampton,0
1,2,male,34.0,0,0,13.0,Southhampton,0
1,3,female,15.0,0,0,8.03,Queenstown,0
1,1,male,28.0,0,0,35.5,Southhampton,0
0,3,female,8.0,3,1,21.08,Southhampton,4
1,3,female,38.0,1,5,31.39,Southhampton,6
0,3,male,28.0,0,0,7.22,Cherbourg,0
0,1,male,19.0,3,2,263.0,Southhampton,5
1,3,female,28.0,0,0,7.88,Queenstown,0
0,3,male,28.0,0,0,7.9,Southhampton,0
0,1,male,40.0,0,0,27.72,Cherbourg,0
1,1,female,28.0,1,0,146.52,Cherbourg,1
1,3,female,28.0,0,0,7.75,Queenstown,0
0,2,male,66.0,0,0,10.5,Southhampton,0
0,1,male,28.0,1,0,82.17,Cherbourg,1
0,1,male,42.0,1,0,52.0,Southhampton,1
1,3,male,28.0,0,0,7.23,Cherbourg,0
0,3,male,21.0,0,0,8.05,Southhampton,0
0,3,female,18.0,2,0,18.0,Southhampton,2
1,3,female,14.0,1,0,11.24,Cherbourg,1
0,3,female,40.0,1,0,9.48,Southhampton,1
0,2,female,27.0,1,0,21.0,Southhampton,1
